id,group,year,title,venue_or_source,method_or_topic,relationship_to_ghana_cocoa_fts,duplicate_risk,source_link,study_decision
L01,FTS method foundation,1993,Fuzzy time series and its models,Fuzzy Sets and Systems,Original fuzzy time-series framework,Defines the general method family but not cocoa Ghana yield or volatility evaluation,Low,https://doi.org/10.1016/0165-0114(93)90372-o,Cite as foundation
L02,FTS method foundation,1994,Forecasting enrollments with fuzzy time series - part II,Fuzzy Sets and Systems,Early FTS forecasting application,Method precedent only; not agriculture or cocoa,Low,https://doi.org/10.1016/0165-0114(94)90067-1,Cite as foundation
L03,FTS method foundation,1996,Forecasting enrollments based on fuzzy time series,Fuzzy Sets and Systems,Classical Chen FTS,This is the baseline method to implement and compare; not a Ghana cocoa study,Low,https://doi.org/10.1016/0165-0114(95)00220-0,Cite and implement as baseline
L04,FTS interval design,2001,Effective lengths of intervals to improve forecasting in fuzzy time series,Fuzzy Sets and Systems,Interval length selection,Supports the interval-sensitivity question; not a cocoa study,Low,https://doi.org/10.1016/s0165-0114(00)00057-9,Cite for interval design
L05,FTS order design,2002,Forecasting enrollments based on high-order fuzzy time series,Cybernetics and Systems,High-order FTS,Supports order-2/order-3 experiment; not agriculture or cocoa,Low,https://doi.org/10.1080/019697202753306479,Cite for high-order rules
L06,FTS rule weighting,2004,Weighted fuzzy time series models for TAIEX forecasting,Physica A,Weighted fuzzy time-series forecasting,Supports frequency-weighted consequents; not agriculture or cocoa,Low,https://doi.org/10.1016/j.physa.2004.11.006,Cite for weighted defuzzification option
L07,FTS model variant,2006,Fuzzy time-series based on adaptive expectation model for TAIEX forecasting,Expert Systems with Applications,Adaptive expectation FTS,Shows adaptive FTS variants exist; not Ghana cocoa yield,Low,https://doi.org/10.1016/j.eswa.2006.12.021,Cite selectively if adaptive FTS background is needed
L08,FTS interval design,2006,Ratio-based lengths of intervals to improve fuzzy time series forecasting,IEEE Transactions on Systems Man and Cybernetics Part B,Ratio-based interval lengths,Relevant to interval construction literature; not cocoa,Low,https://doi.org/10.1109/tsmcb.2005.857093,Cite for interval sensitivity
L09,FTS order design,2009,A computational method of forecasting based on high-order fuzzy time series,Expert Systems with Applications,High-order FTS computation,Relevant to high-order rule design; not cocoa,Low,https://doi.org/10.1016/j.eswa.2009.02.061,Cite for high-order background
L10,FTS survey,2019,Designing fuzzy time series forecasting models: A survey,International Journal of Approximate Reasoning,FTS model design survey,Useful for positioning interval partitioning and rule design as known FTS design choices,Low,https://doi.org/10.1016/j.ijar.2019.05.002,Cite in related work
L11,FTS partition design,2021,A Novel Stochastic Fuzzy Time Series Forecasting Model Based on a New Partition Method,IEEE Access,Partitioning method,Shows active work on partition methods; not cocoa Ghana yield,Low,https://doi.org/10.1109/access.2021.3084048,Cite only if partition-method discussion is expanded
L12,FTS clustering and weighting,2020,A new fuzzy time series forecasting method based on clustering and weighted average approach,Journal of Intelligent and Fuzzy Systems,Clustering and weighted average FTS,Nearby method variant; not cocoa Ghana yield,Low,https://doi.org/10.3233/jifs-179693,Cite only if weighted or clustering variants are discussed
L13,Agricultural FTS,2013,Fuzzy time series model to forecast rice production,FUZZ-IEEE,Rice production FTS,Shows crop-production FTS exists; commodity and target differ from Ghana cocoa yield,Medium,https://doi.org/10.1109/fuzz-ieee.2013.6622509,Cite as agriculture FTS precedent
